Opening graph file ten_spot_hexlike.graph ...
File opened, performing sanity checks ...
    ... sanity checks passed!

All paths examined!
    No solutions found!
         3426 function calls (3389 primitive calls) in 7.622 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.622    7.622 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:1583(_get_handler)
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        2    0.000    0.000    0.000    0.000 argparse.py:2298(_get_nargs_pattern)
        5    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       25    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       23    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 argparse.py:2027(consume_positionals)
        1    0.000    0.000    0.000    0.000 pathlib.py:682(_parse_args)
        1    0.000    0.000    0.000    0.000 pathlib.py:1079(__new__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 pathlib.py:839(suffix)
       11    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       11    0.000    0.000    0.000    0.000 enum.py:792(value)
        6    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2487(_get_value)
        2    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 koenigsberg.py:114(ErrorCatchingArgumentParser)
        1    0.000    0.000    0.000    0.000 pathlib.py:742(__str__)
        3    0.000    0.000    0.001    0.000 gettext.py:756(gettext)
        3    0.000    0.000    0.000    0.000 os.py:758(decode)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        1    0.000    0.000    0.000    0.000 argparse.py:1098(__init__)
        7    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        2    0.000    0.000    0.000    0.000 pathlib.py:831(name)
        2    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
        2    0.000    0.000    0.001    0.000 re.py:188(match)
        7    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:2195(_parse_optional)
        1    0.000    0.000    0.000    0.000 argparse.py:976(__init__)
        3    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        5    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1075(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
